rank,startup,startup_logo,sr_score,description,location,
59,Instacart,https://files.startupranking.com/startup/thumb/1765_3b2cb1b9dff7dbd228afc91d985861c175fe0cfa_instacart_s.png,85375,"Instacart is a same-day grocery delivery company delivering groceries and home essentials from a variety of local stores.
                         -                                         Instacart is a same-day grocery delivery service.  ...",United States,
60,Mapbox,https://files.startupranking.com/startup/thumb/24125_1f5c5a5cee0cfd14d9ed4354a1a264c12489c654_mapbox_s.jpg,85374,"The location platform for developers and designers
                         -                                         Mapbox is one of the biggest providers of custom o ...",United States,
61,Revolut,https://files.startupranking.com/startup/thumb/73058_02e5212d0a64a1fe5ee6ec58fb820d1066b8f8d5_revolut_s.png,85370,"Beyond banking.
                         -                                         A secure, mobile-based current account that allows ...",United Kingdom,
62,ThemeIsle,https://files.startupranking.com/startup/thumb/13621_79f02da1682c109f45cd7988c3487ed5f7484f5d_themeisle_s.png,85347,"WordPress themes with a bang, so get yer guns ready!
                         -                                         ThemeIsle is a WordPress themes shop were themes a ...",Romania,
63,Campfire,https://files.startupranking.com/startup/thumb/2105_4544a32525919826208f29626b776b0b758cbfb5_campfire_s.jpg,85315,"Campfire is a global company; tomorrowâ€™s innovative business that eliminates all boundaries.
                         -                                         CAMPFIRE is a platform on the internet that collec ...",Japan,
64,Piktochart,https://files.startupranking.com/startup/thumb/21908_a1039ca0b33aff3596c707477a43bfa039492a98_piktochart_s.png,85272,"Easy-to-Use Infographic Maker
                         -                                         Use visual stories to engage your web audience. We ...",Malaysia,
65,HotJar,https://files.startupranking.com/startup/thumb/18303_cd725f9401393e7b1589d4c8e9b7788ee2230ec3_hotjar_s.png,85193,"See how visitors are really using your website
                         -                                         HotJar lets you see how visitors are really using  ...",United States,
66,Sticker Mule,https://files.startupranking.com/startup/thumb/18100_f5106be4f3d409d0a61e78febe87d10748b79415_sticker-mule_s.png,85172,"Sticker Mule prints custom stickers for small businesses, startups, bloggers, artists, and companies.
                         -                                         Sticker Mule is the easiest way to buy and sell cu ...",United States,
67,Pearltrees,https://files.startupranking.com/startup/thumb/7274_df4946462353ceb77aa53f2aa547e5560ba5ac61_pearltrees_s.png,85165,"Organize all your interests
                         -                                         Pearltrees is the social curation community. It's  ...",France,
68,Bukalapak,https://files.startupranking.com/startup/thumb/9559_a86e084c0311c6f064df7c23bc21c4dc495e0068_bukalapak_s.png,85153,"Situs Jual Beli Online Mudah Dan Terpercaya
                         -                                         Bukalapak - Place of selling / buying the most com ...",Indonesia,
69,Konga,https://files.startupranking.com/startup/thumb/1112_eb9d25af397daebcb6da0c8b738ae02dbd33e060_konga_s.png,85150,"Nigerian online shopping website selling books, home appliances, mobile phones, groceries, and others.
                         -                                         Konga - One of Nigeria’s leading online megastores ...",Nigeria,
70,Letterboxd,https://files.startupranking.com/startup/thumb/6016_87423ae2293c38f12366aabaf72c5924c031517e_letterboxd_s.png,85086,"Your life in film.
                         -                                         Letterboxd - Keep a diary of the films you watch,  ...",United States,
71,Unbounce,https://files.startupranking.com/startup/thumb/1087_7f3c0583727570aa551542040cd09b8cb9914b5a_unbounce_s.png,85056,"Landing Pages: Build Publish & Test Without I.T.
                         -                                         Unbounce is a self-serve hosted marketing tool tha ...",Canada,
72,Designmodo,https://files.startupranking.com/startup/thumb/1381_4bd9e1e04ab11669c192b6fc11ab844fa4698f6c_designmodo_s.png,85034,"Websites and email builders.
                         -                                         Designmodo creates websites and email builders des ...",United States,
73,App Annie,https://files.startupranking.com/startup/thumb/17303_c166f417fdd8c16ea66d97d1adf5db88ae259c7b_app-annie_s.png,85006,"The App Analytics and App Data Industry Standard
                         -                                         Make better decisions with our app store data. We  ...",United States,
74,Platzi,https://files.startupranking.com/startup/thumb/21795_e7e0c39bbe591a556b280868265148a9927af2eb_platzi_s.png,84994,"Live streaming classes on design, marketing and code.
                         -                                         Platzi es el más grande esfuerzo de educación onli ...",Colombia,
75,Bajaj Finserv,https://files.startupranking.com/startup/thumb/539831_a875724dbf85e77b919b8f74870be5d3bab7dde7_bajaj-finserv-1_s.jpeg,84985,"Get Home Loans at Low Interest
                         -                                         Bajaj Finserv is one of the main NBFCs in the Indi ...",India,
76,Freshdesk,https://files.startupranking.com/startup/thumb/2303_235719fd3cd64853ec628723630836e8fda695c9_freshdesk_s.png,84983,"Customer support software and helpdesk solution
                         -                                         Freshdesk is a web 2.0 customer support software d ...",India,
77,Mysmartprice,https://files.startupranking.com/startup/thumb/2172_577e3a7fc5d79d00570c7c08f30d259e49afaa29_mysmartprice_s.PNG,84883,"MySmartPrice is an online research platform that lets users discover products across a wide array of categories that include mobiles.
                         -                                         MySmartPrice is an online price comparison engine  ...",India,
78,JusBrasil,https://files.startupranking.com/startup/thumb/23612_9496722523ec4fede5a2cd3938526fa1574952a9_jusbrasil_s.png,84821,"JusBrasil connects consumers and attorneys through legal information.
                         -                                         JusBrasil connects consumers and attorneys through ...",Brazil,
79,Lyst,https://files.startupranking.com/startup/thumb/4320_8af97b9ebf429e3c57be91eb9fca328a8746bfa5_lyst_s.jpg,84780,"Global fashion search platform
                         -                                         Lyst is a personalized fashion marketplace that al ...",United Kingdom,
80,Outbrain,https://files.startupranking.com/startup/thumb/2700_15b4ebec814ae0d2e7eeb1d6df24d90ea08f3b67_outbrain_s.png,84777,"Outbrain is a content discovery platform providing publishers a service for recommended links to increase traffic and generate revenue.
                         -                                         Outbrain is the leading content discovery platform ...",Israel,
81,Teachable,https://files.startupranking.com/startup/thumb/39140_761a9d767f15bca6e475d9a2fade71746920a0b4_teachable_s.png,84759,"Create and sell beautiful online courses
                         -                                         Teachable is a multi-tenant, unbranded online cour ...",United States,
82,LogMeIn,https://files.startupranking.com/startup/thumb/2522_e50c6e173434b06c5dc13c4da04e1a3f370c4637_logmein_s.png,84708,"LogMeIn provides SaaS-based remote connectivity, collaboration, and support solutions for businesses and consumers.
                         -                                         LogMeIn - Users worldwide rely on LogMeIn solution ...",Hungary,
83,Watson,https://files.startupranking.com/startup/thumb/22177_c4c250ba91bd5626be54eee061fa5ba8d2cf910c_watson_s.jpeg,84685,"The mobile news portal in Switzerland.

watson - News ohne Bla Bla. Jetzt App downloaden und auf Twi ...",Switzerland,
84,Smallpdf,https://files.startupranking.com/startup/thumb/21289_e1be7719a86b8314f596346007b8d506963628e5_smallpdf_s.png,84670,The first PDF software you will actually like.,Switzerland,
85,Gurunavi,https://files.startupranking.com/startup/thumb/2163_f9182ca2ae532801eb5c2d27f9821abc2d0b2571_gurunavi_s.jpg,84632,"Gurunavi will help you find that perfect restaurant in Japan!
                         -                                         Gurunavi - 飲食店を応援し、美味しい食の輪を広げるべく、ツイートします。よろしければ、この ...",Japan,
86,Icons8,https://files.startupranking.com/startup/thumb/72693_6582f0101bd0b7bd31da49bf3e23458432aa476f_icons8_s.png,84626,"Free icons in any format, size and color in 20 sec
                         -                                         Icons8 is a library of icons, UI sounds, and music ...",United States,
87,Traveloka,https://files.startupranking.com/startup/thumb/9779_706891cbd766d67920e3a4df089b2516646a7dbe_traveloka_s.png,84618,"Tiket Pesawat Murah
                         -                                         Traveloka.com is an Indonesian flight booking webs ...",Indonesia,
88,SendGrid,https://files.startupranking.com/startup/thumb/5172_14082e3eb77253d8daee6290e03553e8a0bd9916_sendgrid_s.png,84601,"Marketing & Transactional Email Service
                         -                                         Email Delivery. Simplified. Increased deliverabili ...",United States,
89,Blibli,https://files.startupranking.com/startup/thumb/9440_e45a3cdde6ed4031e4884e5a9eec7d4b7d770b24_blibli_s.jpg,84594,"AppReal Double Deals Dekstop
                         -                                         Online retailer, Anywhere, Anytime Shopping.

Bl ...",Indonesia,
90,Iconfinder,https://files.startupranking.com/startup/thumb/5182_b35817884e0bc7cce6fac066b4f33eb7ac9f5f8a_iconfinder_s.png,84593,"Iconfinder is a search engine and marketplace for icons for web developers.
                         -                                         Iconfinder is a search engine and marketplace for  ...",Denmark,
91,EyeEm,https://files.startupranking.com/startup/thumb/1699_dbef6e778ecca81ef5b850fbda0bf383d24ea3bf_eyeem_s.png,84572,"EyeEm is a photography company building computer vision technology to connect its creative community to leading brands and agencies.
                         -                                         EyeEm - Discover places & things you love, with ev ...",Germany,
92,Zenius Education,https://files.startupranking.com/startup/thumb/15353_245ac7d0bd49a283872a56b0d409a0612cdda221_zenius-education_s.png,84556,Zenius Education is a leading education technology company in Indonesia. We produce e-learning conte ...,Indonesia,
93,Coub,https://files.startupranking.com/startup/thumb/5088_55e02f7bd541dcdabb4cff9969afe10a75bd1719_coub_s.png,84538,"Coub is an online portal that enables users to create high quality moving images with sound.
                         -                                         Coub - A coub is a looped video up to 10 seconds l ...",Russia,
94,Taboola,https://files.startupranking.com/startup/thumb/21282_72d6e2b776a2eeeb8edd250f24d3bd7a0a8f88b5_taboola_s.jpeg,84487,"Taboola is a content discovery platform that connects people with content they may like but never knew existed.
                         -                                         Taboola is the leading discovery platform, serving ...",United States,
95,CoSchedule,https://files.startupranking.com/startup/thumb/24147_af5b652b72b80804a9a87ad50183c0b9954bcd3c_coschedule_s.png,84468,"Content Marketing Editorial Calendar Software
                         -                                         CoSchedule is a drag-and-drop editorial calendar f ...",United States,
96,Hotmart,https://files.startupranking.com/startup/thumb/22688_104faf9120df5e4dae3a5a6242f8dc3eed358f22_hotmart_s.png,84445,"Distribution platform and marketplace for paid dig
                         -                                         Hotmart helps people sell their digital products o ...",Brazil,
97,Bigfish,https://files.startupranking.com/startup/thumb/227_222b6e46ec539936c1fc58d9c983cd6dd06e902f_bigfish_s.png,84435,"Big Fish Games is an online shop selling downloadable games for PC and mobile platforms.
                         -                                         Big Fish Games, the world leader in downloadable g ...",United States,
98,Ruangguru,https://files.startupranking.com/startup/thumb/15046_40c76ccfc3f2ad3332796553bdf513d51b1e68d8_ruangguru_s.png,84407,"Ruangguru adalah sebuah website yang menghubungkan calon murid dengan calon guru untuk belajar di bidang apapun
                         -                                         Ruangguru is an online matchmaking platform for st ...",Indonesia,
99,BankBazaar.com,https://files.startupranking.com/startup/thumb/18890_5b5480b422306a48fdc66cad398e8fb11932fa16_bankbazaar_s.jpeg,84406,"BankBazaar.com is a neutral online marketplace that gives instant customized rate quotes on loans and insurance products.
                         -                                         BankBazaar.com is the world's first neutral online ...",India,
100,HackerRank,https://files.startupranking.com/startup/thumb/18462_04d71e537931384eabb4d72b4ccd53a0e136b302_hackerrank_s.png,84381,"HackerRank is a skills-based tech hiring platform.
                         -                                         HackerRank - A social platform for programmers to  ...",United States,
101,Alodokter.com,https://files.startupranking.com/startup/thumb/19155_41035b9d77a5a7b921b884c479c99f4c100142e5_alodokter_s.png,84358,Alodokter.com plans to be the number 1 healthcare website in Indonesia. We aim to bring medical know ...,Indonesia,
102,OnDemandKorea,https://files.startupranking.com/startup/thumb/3932_75145c57e6807bbda34aca9b1868e93146ee7148_ondemandkorea_s.png,84352,"Korean TV, Movies, Video Streaming
                         -                                         ODK Media Inc. operates online TV platforms ""OnDem ...",United States,
103,ArabiaWeather,https://files.startupranking.com/startup/thumb/25023_b9a511dc0774d444f1550c0acbb68038051978ba_arabiaweather-inc_s.png,84333,"ArabiaWeather is the leading provider of weather products, services, and solutions to consumers and  ...",Jordan,
104,Sellfy,https://files.startupranking.com/startup/thumb/4611_d041d3d83b672914efa808555dffdbb5b5f425d9_sellfy_s.png,84310,"Sell digital products, sell downloads
                         -                                         Sellfy - E-commerce platform that enables anyone t ...",Latvia,
105,digikala,https://files.startupranking.com/startup/thumb/53587_2c1092d2393d600abc3dc67d3ce690fccbac66b5_digikala_s.jpg,84273,"Online market mainly for digital goods
                         -                                         بررسی، انتخاب و خرید آنلاین
www.digikala.comتوسعه ...",Iran,
106,HackerEarth,https://files.startupranking.com/startup/thumb/21143_cdee83f7039a25334d39c822169e695ac37fea2c_hackerearth_s.png,84261,"HackerEarth helps its clients hire great programmers, the smart way.
                         -                                         HackerEarth is the largest platform to discover pr ...",India,
107,TourRadar,https://files.startupranking.com/startup/thumb/20341_034f8abfc77c0fec7108241911d5804c8001fa11_tourradar_s.png,84230,"Booking tours made easy
                         -                                         TourRadar - An Online Travel Agency to Compare & B ...",Austria,
108,Retty,https://files.startupranking.com/startup/thumb/2173_fd51376307b5aa689fa9840bc110a8d05e1f6b9c_retty_s.png,84174,"Retty is a social gourmet site where users can write reviews about restaurants and diners.
                         -                                         Retty - グルメ友達のオススメが集まる、日本最大級の実名グルメアプリRetty公式アカウントで ...",Japan,
109,Plotly,https://files.startupranking.com/startup/thumb/6171_2366e117c376b7d4d641d6cd3174804d2462c992_plotly_s.png,84145,"Collaborative data analysis and visualization for Python, R, MATLAB, & Excel. 2D, 3D, and live-streaming graphs.
                         -                                         Plotly - It is a free, online, graphing, curve fit ...",Canada,
110,Elevenia,https://files.startupranking.com/startup/thumb/19661_f4a1e21f067d8822624f94a6831317357fe1c082_elevenia_s.jpeg,84099,"Elevenia is a marketplace-based platform for buyers and sellers.
                         -                                         Elevenia - Your Online Shopping Paradise.

Belanja ...",Indonesia,
111,Kiwi.com,https://files.startupranking.com/startup/thumb/933_5dd82bec6854531f3068a57531cb6c088cb12be4_skypicker_s.jpeg,84091,"Kiwi.com is a flight booking engine that consists of an extensive database of flights from all over the world.
                         -                                         Kiwi.com, formerly known as Skypicker, is an onlin ...",Czechia,
112,Tinder,https://files.startupranking.com/startup/thumb/1708_ccbcc5398120025c67aa013cf002f15d012811fd_tinder_s.png,84085,"Find your match
                         -                                         Tinder is a mobile app that finds who likes you ne ...",United States,
113,Anghami,https://files.startupranking.com/startup/thumb/3568_7a989f8bdede0a787597a93790ed8c3a0b385dde_anghami_s.jpg,84084,"Anghami is a music streaming mobile app that enables users to play and download Arabic and international songs offline.
                         -                                         Anghami is a music app that offers you unlimited A ...",United Arab Emirates,
114,Domo,https://files.startupranking.com/startup/thumb/32228_301d42b506b456c6b4d2a56759b8270e2eb7f90c_domo_s.jpg,84053,"Business Intelligence - Dashboards and Analytics
                         -                                         Domo optimizes your business by connecting you to  ...",United States,
115,Qiita,https://files.startupranking.com/startup/thumb/2190_482d1b930e9eb14ebb45566a2335dcf9e39bb444_qiita_s.jpg,84027,"Increments provides Qiita, the largest developer community in Japan, and Kobito, note taking Mac app for developers.
                         -                                         Qiita - The best way to log and share programming  ...",Japan,
